,dist,dist_eng,cameraNum,theft104,theft105,area,pplPerOffice105,mid.low.income105,pplPerOffice104,policeStation,DisposableInc,house,theftRate,camDen,househundred,surv.avg,theftRate_percent
1,士林,Shilin,1332,58,78,62.3682,810,1883,821,11,1.299778109,92280,0.000845254,0.213570377,923,56.55128205,0.084525358
2,大同,Datong,748,27,32,5.6815,450,984,456,8,1.161261834,43308,0.000738894,1.316553727,433,259.09375,0.073889351
3,大安,Da'an,1652,43,65,11.3614,682,634,685,8,1.608058238,97144,0.00066911,1.454046156,971,76.13846154,0.066910978
4,中山,Zhongshan,1138,92,77,13.6821,564,888,566,9,1.215552719,95854,0.000803305,0.831743665,959,160.8051948,0.080330503
5,中正,Zhongzheng,1708,49,44,7.6071,299,595,305,16,1.32317532,51416,0.000855765,2.245270865,514,77.31818182,0.085576474
6,內湖,Neihu,1266,56,68,31.5787,888,1385,888,10,1.275812207,90124,0.000754516,0.40090314,901,2.515625,0.0754516
7,文山,Wenshan,1220,46,42,31.509,715,1838,723,10,1.229375908,90136,0.000465963,0.387190961,901,22.19047619,0.046596255
8,北投,Beitou,1143,54,72,56.8216,830,1562,821,10,1.260921485,81811,0.000880077,0.201155898,818,43.84722222,0.088007725
9,松山,Songshan,1003,56,42,9.2878,706,566,704,7,1.46937219,65496,0.000641261,1.079911281,655,120.2857143,0.064126053
10,信義,Xinyi,933,47,37,11.2077,714,1119,737,8,1.460395552,75355,0.000491009,0.832463396,754,41.2972973,0.049100922
11,南港,Nangang,652,18,36,21.8424,635,886,650,5,1.185284362,38869,0.000926188,0.298501996,389,2.083333333,0.092618796
12,萬華,Wanhua,904,71,50,8.8522,519,2001,557,12,1.170078376,68107,0.000734139,1.021215065,681,34.52,0.073413893
